   #           Energy [Eh]      SASA
No   1     -636.5624089637     5981.6
No   2     -636.5635738667     5791.1
No   3     -636.5541057423     5551.6
No   4     -636.5421498658     5739.3
No   5     -636.5560361733     5837.8
No   6     -636.5559578771     5734.5
No   7     -636.5393064268     5901.7
No   8     -636.5430829096     5887.4
No   9     -636.5457696780     5956.9
No  10     -636.5552229340     5686.3
No  11     -636.5321202591     5824.4
No  12     -636.5531723803     5741.7
No  13     -636.5402770020     6385.0
No  14     -636.5452599518     5608.2
No  15     -636.5366773858     5967.7
No  16     -636.5412752198     5687.6
No  17     -636.5358205293     6005.3
No  18     -636.5271732464     6023.5
No  19     -636.5293455788     5890.5
No  20     -636.5406776410     5697.6
