  cluster  E_norm [Eh]  De [kcal]    p
     1   -356.361711     0.0000   0.9478
     2   -356.358932     1.7433   0.0500
     3   -356.355634     3.8128   0.0015
     4   -356.354659     4.4248   0.0005
     5   -356.352515     5.7700   0.0001
     6   -356.352396     5.8448   0.0000
     7   -356.352053     6.0600   0.0000
     8   -356.350709     6.9037   0.0000
     9   -356.350697     6.9112   0.0000
     10  -356.350266     7.1814   0.0000
     11  -356.349677     7.5508   0.0000
     12  -356.349463     7.6853   0.0000
     13  -356.347593     8.8586   0.0000
     14  -356.345569     ******   0.0000
     15  -356.343354     ******   0.0000
     16  -356.343334     ******   0.0000
     17  -356.338298     ******   0.0000
     18  -356.337782     ******   0.0000
     19  -356.337701     ******   0.0000
     20  -356.336919     ******   0.0000

Ensemble free energy [Eh]:     -356.3617611496
