  cluster  E_norm [Eh]  De [kcal]    p
     1   -779.020933     0.0000   0.9624
     2   -779.017872     1.9207   0.0376
     3   -779.007905     8.1753   0.0000
     4   -779.007579     8.3795   0.0000
     5   -779.004011     ******   0.0000
     6   -779.003135     ******   0.0000
     7   -779.001933     ******   0.0000
     8   -779.001823     ******   0.0000
     9   -779.001774     ******   0.0000
     10  -779.000488     ******   0.0000
     11  -778.999641     ******   0.0000
     12  -778.998506     ******   0.0000
     13  -778.997705     ******   0.0000
     14  -778.997678     ******   0.0000
     15  -778.996431     ******   0.0000
     16  -778.996094     ******   0.0000
     17  -778.995287     ******   0.0000
     18  -778.994717     ******   0.0000
     19  -778.994484     ******   0.0000
     20  -778.994466     ******   0.0000

Ensemble free energy [Eh]:     -779.0209690783
