  cluster  E_norm [Eh]  De [kcal]    p
     1   -193.005541     0.0000   0.8926
     2   -193.002851     1.6882   0.0517
     3   -193.002268     2.0538   0.0279
     4   -193.001552     2.5033   0.0130
     5   -193.001049     2.8185   0.0077
     6   -193.000831     2.9556   0.0061
     7   -192.997692     4.9253   0.0002
     8   -192.997583     4.9935   0.0002
     9   -192.997365     5.1304   0.0002
     10  -192.997163     5.2571   0.0001
     11  -192.996909     5.4165   0.0001
     12  -192.996861     5.4470   0.0001
     13  -192.996617     5.6001   0.0001
     14  -192.996024     5.9720   0.0000
     15  -192.995862     6.0739   0.0000
     16  -192.995753     6.1418   0.0000
     17  -192.995642     6.2116   0.0000
     18  -192.995581     6.2502   0.0000
     19  -192.995273     6.4435   0.0000
     20  -192.995225     6.4732   0.0000

Ensemble free energy [Eh]:     -193.0056483335
