   #   Energy       Run. Aver.   Diff / au.
    1 -423.59117662  -0.67503544  -0.67503544
    2 -381.30989435  -0.97886340  -0.30382797
    3 -369.75428765  -0.95026522   0.02859818
    4 -368.01231480  -0.85216560   0.09809963
    5 -371.15752663  -0.78040797   0.07175762
    6 -372.74367745  -0.73738117   0.04302680
    7 -379.57179575  -0.71230662   0.02507455
    8 -383.73601087  -0.69657425   0.01573237
    9 -383.47583952  -0.68532991   0.01124434
   10 -380.82379704  -0.67636061   0.00896930
   11 -379.79831740  -0.66908036   0.00728026
   12 -380.00354870  -0.66318148   0.00589887
   13 -380.06421130  -0.65830383   0.00487766
   14 -385.30003308  -0.65479191   0.00351192
   15 -387.36417829  -0.65205859   0.00273332
   16 -386.71917750  -0.64965135   0.00240723
   17 -389.24671218  -0.64778344   0.00186791
   18 -389.98197834  -0.64621813   0.00156531
   19 -390.33939091  -0.64486349   0.00135464
   20 -390.20356983  -0.64364403   0.00121946
   21 -389.51012195  -0.64249452   0.00114951
   22 -390.25824181  -0.64150689   0.00098764
   23 -384.93976454  -0.64024367   0.00126322
   24 -385.62833589  -0.63911996   0.00112371
   25 -386.62749413  -0.63815541   0.00096454
   26 -388.61973894  -0.63739330   0.00076212
   27 -387.27857313  -0.63661597   0.00077733
   28 -386.28970771  -0.63583734   0.00077863
   29 -386.30702637  -0.63511332   0.00072402
   30 -387.79840481  -0.63451861   0.00059471
