  cluster  E_norm [Eh]  De [kcal]    p
     1   -152.703045     0.0000   0.7237
     2   -152.701809     0.7755   0.1955
     3   -152.700226     1.7690   0.0365
     4   -152.700121     1.8350   0.0327
     5   -152.698118     3.0917   0.0039
     6   -152.698039     3.1415   0.0036
     7   -152.697363     3.5656   0.0018
     8   -152.697026     3.7771   0.0012
     9   -152.696603     4.0424   0.0008
     10  -152.694613     5.2909   0.0001
     11  -152.694291     5.4935   0.0001
     12  -152.694230     5.5316   0.0001
     13  -152.693485     5.9986   0.0000
     14  -152.693151     6.2085   0.0000
     15  -152.692266     6.7638   0.0000
     16  -152.691145     7.4674   0.0000
     17  -152.690255     8.0259   0.0000
     18  -152.690222     8.0465   0.0000
     19  -152.689960     8.2108   0.0000
     20  -152.689619     8.4251   0.0000

Ensemble free energy [Eh]:     -152.7033502668
