   #           Energy [Eh]      SASA
No   1     -152.6989378406     2208.0
No   2     -152.6938212002     2192.5
No   3     -152.6909829489     2344.8
No   4     -152.6751765543     2403.7
No   5     -152.6924594042     2527.0
No   6     -152.6944307157     2345.0
No   7     -152.6946983424     2318.8
No   8     -152.6904773753     2448.5
No   9     -152.6958632849     2277.9
No  10     -152.6951903966     2384.8
No  11     -152.6926138431     2305.3
No  12     -152.6929407538     2351.5
No  13     -152.6948766395     2412.9
No  14     -152.6949350783     2445.3
No  15     -152.6851356561     2354.2
No  16     -152.6836441229     2305.1
No  17     -152.6934635331     2358.5
No  18     -152.6845345781     2256.7
No  19     -152.6900776086     2306.3
No  20     -152.6940092150     2296.6
