  cluster  E_norm [Eh]  De [kcal]    p
     1   -218.688723     0.0000   0.7641
     2   -218.687246     0.9269   0.1599
     3   -218.685741     1.8716   0.0325
     4   -218.685661     1.9216   0.0298
     5   -218.683836     3.0668   0.0043
     6   -218.683589     3.2216   0.0033
     7   -218.683328     3.3858   0.0025
     8   -218.683181     3.4776   0.0022
     9   -218.681829     4.3261   0.0005
     10  -218.681517     4.5222   0.0004
     11  -218.681254     4.6869   0.0003
     12  -218.680349     5.2550   0.0001
     13  -218.680045     5.4456   0.0001
     14  -218.679457     5.8147   0.0000
     15  -218.678504     6.4123   0.0000
     16  -218.678197     6.6052   0.0000
     17  -218.677497     7.0444   0.0000
     18  -218.677339     7.1439   0.0000
     19  -218.676523     7.6556   0.0000
     20  -218.676286     7.8042   0.0000

Ensemble free energy [Eh]:     -218.6889772602
