  cluster  E_norm [Eh]  De [kcal]    p
     1   -203.589021     0.0000   0.9918
     2   -203.583773     3.2931   0.0038
     3   -203.583579     3.4149   0.0031
     4   -203.582150     4.3114   0.0007
     5   -203.581214     4.8988   0.0003
     6   -203.581045     5.0048   0.0002
     7   -203.580089     5.6046   0.0001
     8   -203.578109     6.8472   0.0000
     9   -203.577633     7.1461   0.0000
     10  -203.577507     7.2251   0.0000
     11  -203.576668     7.7512   0.0000
     12  -203.576536     7.8343   0.0000
     13  -203.576465     7.8787   0.0000
     14  -203.576455     7.8851   0.0000
     15  -203.574705     8.9833   0.0000
     16  -203.572561     ******   0.0000
     17  -203.571800     ******   0.0000
     18  -203.571662     ******   0.0000
     19  -203.570204     ******   0.0000
     20  -203.564301     ******   0.0000

Ensemble free energy [Eh]:     -203.5890284596
