  cluster  E_norm [Eh]  De [kcal]    p
     1   -203.645610     0.0000   0.9892
     2   -203.641114     2.8217   0.0084
     3   -203.639557     3.7987   0.0016
     4   -203.637806     4.8972   0.0003
     5   -203.637652     4.9942   0.0002
     6   -203.637193     5.2819   0.0001
     7   -203.636646     5.6250   0.0001
     8   -203.633924     7.3332   0.0000
     9   -203.633140     7.8249   0.0000
     10  -203.632974     7.9296   0.0000
     11  -203.632549     8.1964   0.0000
     12  -203.632463     8.2500   0.0000
     13  -203.631668     8.7491   0.0000
     14  -203.626849     ******   0.0000
     15  -203.625978     ******   0.0000
     16  -203.625596     ******   0.0000
     17  -203.624520     ******   0.0000
     18  -203.623546     ******   0.0000
     19  -203.622514     ******   0.0000
     20  -203.619559     ******   0.0000

Ensemble free energy [Eh]:     -203.6456204836
