   #   Energy       Run. Aver.   Diff / au.
    1 -423.33456109  -0.67462649  -0.67462649
    2 -378.59214336  -0.97628895  -0.30166246
    3 -366.82950815  -0.94627344   0.03001551
    4 -366.59488495  -0.84825273   0.09802072
    5 -374.81752145  -0.77845997   0.06979275
    6 -375.87486112  -0.73691696   0.04154301
    7 -381.46492046  -0.71255168   0.02436528
    8 -385.03261129  -0.69713561   0.01541606
    9 -380.65811534  -0.68536512   0.01177049
   10 -377.60019353  -0.67582597   0.00953915
   11 -380.19101579  -0.66859941   0.00722657
   12 -378.96546973  -0.66260723   0.00599218
   13 -383.62500724  -0.65820307   0.00440416
   14 -389.04317352  -0.65515824   0.00304482
   15 -391.84490401  -0.65290768   0.00225057
   16 -395.01870816  -0.65130418   0.00160350
   17 -391.49661049  -0.64959723   0.00170695
   18 -389.83931398  -0.64792746   0.00166976
   19 -388.79149033  -0.64634754   0.00157993
   20 -389.69627372  -0.64500219   0.00134535
   21 -390.63035800  -0.64386702   0.00113517
   22 -390.73452676  -0.64285215   0.00101487
   23 -389.16776986  -0.64182220   0.00102995
   24 -388.86645001  -0.64085745   0.00096475
   25 -391.75338873  -0.64015651   0.00070094
   26 -392.71153031  -0.63957836   0.00057815
   27 -392.96964951  -0.63906282   0.00051554
   28 -391.50862139  -0.63850319   0.00055963
   29 -393.11722175  -0.63806903   0.00043416
   30 -391.45905986  -0.63757991   0.00048912
   31 -392.75337765  -0.63718711   0.00039280
   32 -394.20172880  -0.63689400   0.00029311
   33 -393.76312288  -0.63660049   0.00029351
   34 -393.71066057  -0.63632178   0.00027871
   35 -394.44438955  -0.63609283   0.00022895
   36 -395.22253738  -0.63591242   0.00018041
   37 -396.89312550  -0.63581503   0.00009739
   38 -394.97843524  -0.63564465   0.00017038
   39 -394.38413716  -0.63545686   0.00018779
   40 -393.55599976  -0.63524503   0.00021183
   41 -393.10085286  -0.63502525   0.00021978
   42 -388.75717131  -0.63465094   0.00037431
   43 -389.04189445  -0.63430099   0.00034994
   44 -388.64968197  -0.63395331   0.00034769
   45 -387.07218095  -0.63356526   0.00038805
