  cluster  E_norm [Eh]  De [kcal]    p
     1   -651.412141     0.0000   0.9493
     2   -651.408657     2.1860   0.0237
     3   -651.408498     2.2862   0.0200
     4   -651.407080     3.1758   0.0045
     5   -651.406397     3.6041   0.0022
     6   -651.404182     4.9943   0.0002
     7   -651.403725     5.2812   0.0001
     8   -651.400914     7.0451   0.0000
     9   -651.397360     9.2752   0.0000
     10  -651.395686     ******   0.0000
     11  -651.395576     ******   0.0000
     12  -651.395147     ******   0.0000
     13  -651.395005     ******   0.0000
     14  -651.394886     ******   0.0000
     15  -651.394094     ******   0.0000
     16  -651.392655     ******   0.0000
     17  -651.391694     ******   0.0000
     18  -651.386072     ******   0.0000
     19  -651.386049     ******   0.0000
     20  -651.384880     ******   0.0000

Ensemble free energy [Eh]:     -651.4121901228
