  cluster  E_norm [Eh]  De [kcal]    p
     1   -178.381220     0.0000   0.3046
     2   -178.381189     0.0194   0.2948
     3   -178.380410     0.5083   0.1292
     4   -178.380345     0.5488   0.1206
     5   -178.380094     0.7069   0.0924
     6   -178.379084     1.3401   0.0317
     7   -178.377704     2.2066   0.0073
     8   -178.377269     2.4791   0.0046
     9   -178.376977     2.6624   0.0034
     10  -178.376928     2.6934   0.0032
     11  -178.376713     2.8280   0.0026
     12  -178.376497     2.9640   0.0020
     13  -178.375621     3.5136   0.0008
     14  -178.375551     3.5576   0.0008
     15  -178.375529     3.5710   0.0007
     16  -178.374613     4.1458   0.0003
     17  -178.374609     4.1485   0.0003
     18  -178.374489     4.2237   0.0002
     19  -178.374427     4.2628   0.0002
     20  -178.374419     4.2676   0.0002

Ensemble free energy [Eh]:     -178.3823425694
