  cluster  E_norm [Eh]  De [kcal]    p
     1   -142.083803     0.0000   0.3463
     2   -142.083618     0.1159   0.2848
     3   -142.082705     0.6884   0.1084
     4   -142.082578     0.7682   0.0947
     5   -142.082242     0.9794   0.0663
     6   -142.081739     1.2952   0.0389
     7   -142.081308     1.5650   0.0247
     8   -142.080592     2.0145   0.0116
     9   -142.080020     2.3738   0.0063
     10  -142.079996     2.3889   0.0061
     11  -142.079852     2.4790   0.0053
     12  -142.079237     2.8648   0.0028
     13  -142.078562     3.2885   0.0013
     14  -142.077874     3.7201   0.0006
     15  -142.077651     3.8598   0.0005
     16  -142.077328     4.0631   0.0004
     17  -142.077183     4.1536   0.0003
     18  -142.077055     4.2340   0.0003
     19  -142.076836     4.3716   0.0002
     20  -142.076729     4.4386   0.0002

Ensemble free energy [Eh]:     -142.0848037224
