   #           Energy [Eh]      SASA
No   1     -229.0494971363     3205.8
No   2     -229.0453988262     3300.6
No   3     -229.0462927418     3002.3
No   4     -229.0487714033     3247.9
No   5     -229.0324883770     3317.7
No   6     -229.0402360083     3342.9
No   7     -229.0345151557     3045.7
No   8     -229.0395894826     3276.2
No   9     -229.0341694653     3017.7
No  10     -229.0322574394     3210.7
No  11     -229.0272974604     3191.8
No  12     -229.0341860444     2993.9
No  13     -229.0343201799     3189.6
No  14     -229.0302987539     3040.8
No  15     -229.0261711390     2962.4
No  16     -229.0372232553     3324.3
No  17     -229.0369095447     3163.3
No  18     -229.0361450199     3088.6
No  19     -229.0360924019     2983.6
No  20     -229.0386513311     3294.3
