   #           Energy [Eh]      SASA
No   1     -178.1236011046     2631.6
No   2     -178.1133942663     2848.8
No   3     -178.1268378873     2729.8
No   4     -178.1261267762     2586.7
No   5     -178.1246242644     2518.5
No   6     -178.1139472520     2560.9
No   7     -178.1127768073     2698.7
No   8     -178.1199525364     2687.8
No   9     -178.1197688561     2866.3
No  10     -178.1073418641     2689.2
No  11     -178.1231880735     2721.6
No  12     -178.1213324124     2697.6
No  13     -178.1072005838     2546.8
No  14     -178.1185684396     2726.2
No  15     -178.1229806592     2743.1
No  16     -178.1191452431     2568.6
No  17     -178.1166876336     2632.8
No  18     -178.1127368360     2660.2
No  19     -178.1116461537     2792.2
No  20     -178.1114386944     2692.8
