   #   Energy       Run. Aver.   Diff / au.
    1 -440.19731068  -0.70149899  -0.70149899
    2 -397.61503579  -1.01831890  -0.31681991
    3 -390.78141611  -0.99206916   0.02624974
    4 -386.11044833  -0.89131596   0.10075320
    5 -384.20666016  -0.81535657   0.07595939
    6 -387.49846281  -0.76972359   0.04563299
    7 -390.94391433  -0.74224532   0.02747826
    8 *************  -5.73677017  -4.99452485
    9 -388.68038856  -5.72312086   0.01364931
   10 -390.78693765  -5.21171970   0.51140116
   11 -390.68477855  -4.74803560   0.46368410
   12 -389.40273010  -4.36543835   0.38259725
   13 -391.76205172  -4.04822888   0.31720947
   14 -390.13484618  -3.78082038   0.26740850
   15 -390.92746511  -3.55247062   0.22834976
   16 -381.67231669  -3.35418394   0.19828668
   17 -381.35949390  -3.18096420   0.17321974
   18 -382.03475040  -3.02844348   0.15252072
   19 -383.20064825  -2.89316479   0.13527869
   20 -386.72777349  -2.77255711   0.12060768
   21 -387.22913636  -2.66417254   0.10838457
   22 -380.75284821  -2.56572759   0.09844495
   23 -383.48208152  -2.47646433   0.08926326
   24 -384.48003622  -2.39508851   0.08137582
   25 -383.85914793  -2.32049867   0.07458984
   26 -383.75685778  -2.25190125   0.06859743
   27 -384.24342133  -2.18863577   0.06326548
   28 -384.29035223  -2.13008235   0.05855342
   29 -384.07257578  -2.07571762   0.05436473
   30 -385.49881185  -2.02519259   0.05052503
   31 -385.08652970  -1.97802990   0.04716269
   32 -385.41534161  -1.93393633   0.04409357
   33 -387.27100029  -1.89269772   0.04123862
   34 -389.91457967  -1.85409278   0.03860494
   35 -390.03007134  -1.81777434   0.03631844
   36 -388.67183886  -1.78347698   0.03429736
   37 -387.97038352  -1.75105795   0.03241903
   38 -389.32333031  -1.72045135   0.03060660
   39 -390.14015996  -1.69149417   0.02895718
   40 -390.31822539  -1.66403317   0.02746099
   41 -387.92585951  -1.63785525   0.02617793
   42 -387.86410169  -1.61295209   0.02490315
   43 -388.20883086  -1.58924965   0.02370245
   44 -388.92321354  -1.56667775   0.02257190
   45 -388.41162721  -1.54511605   0.02156170
   46 -389.68734374  -1.52455797   0.02055808
   47 -389.92556306  -1.50490414   0.01965383
   48 -390.46398769  -1.48610593   0.01879821
   49 -389.98084922  -1.46807674   0.01802919
   50 -390.28918623  -1.45079393   0.01728281
   51 -390.55778312  -1.43421191   0.01658203
   52 -390.60665202  -1.41828262   0.01592928
   53 -391.40410738  -1.40299074   0.01529188
   54 -391.99125547  -1.38829435   0.01469639
   55 -392.93979482  -1.37417069   0.01412366
   56 -392.73463558  -1.36055584   0.01361486
   57 -392.29324773  -1.34741528   0.01314056
   58 -392.71914811  -1.33474773   0.01266755
   59 -390.33116016  -1.32245310   0.01229463
   60 -390.55347133  -1.31058041   0.01187269
   61 -388.91412426  -1.29906108   0.01151933
   62 -388.38301500  -1.28790539   0.01115569
   63 -388.98631313  -1.27712489   0.01078051
   64 -389.00240528  -1.26668753   0.01043735
   65 -388.80161142  -1.25657168   0.01011585
   66 -389.64255346  -1.24678755   0.00978413
   67 -388.40204514  -1.23727093   0.00951662
   68 -390.96485496  -1.22809820   0.00917273
   69 -392.11526981  -1.21922290   0.00887530
   70 -390.89004132  -1.21057754   0.00864536
   71 -390.71342268  -1.20217499   0.00840256
   72 -394.18442311  -1.19408603   0.00808895
   73 -394.21272578  -1.18622361   0.00786243
   74 -393.65833590  -1.17856480   0.00765881
   75 -393.46295348  -1.17110879   0.00745601
   76 -392.89765902  -1.16383981   0.00726898
   77 -388.85318384  -1.15667836   0.00716145
   78 -390.60299828  -1.14973766   0.00694070
   79 -391.39931066  -1.14299154   0.00674613
   80 -391.77633654  -1.13642401   0.00656753
   81 -391.77682961  -1.13002085   0.00640315
   82 -391.45560078  -1.12376963   0.00625122
   83 -391.46863683  -1.11767113   0.00609851
   84 -390.31708093  -1.11169780   0.00597333
   85 -390.27012181  -1.10586561   0.00583219
   86 -389.57909275  -1.10015789   0.00570772
   87 -389.53293179  -1.09458196   0.00557592
   88 -388.54887190  -1.08911644   0.00546552
   89 -388.81520859  -1.08377975   0.00533669
   90 -388.64178722  -1.07856001   0.00521974
   91 -388.30382101  -1.07345036   0.00510965
   92 -387.92764706  -1.06844647   0.00500389
   93 -388.58296642  -1.06356255   0.00488391
   94 -389.47646441  -1.05879897   0.00476358
   95 -389.58780122  -1.05413882   0.00466016
   96 -389.22802654  -1.04957085   0.00456797
   97 -389.76032195  -1.04510677   0.00446409
   98 -389.84591784  -1.04073624   0.00437053
   99 -390.98329791  -1.03647325   0.00426298
  100 -390.50504815  -1.03228899   0.00418427
  101 -390.59102546  -1.02818971   0.00409928
  102 -390.57476617  -1.02417139   0.00401832
  103 -390.56201416  -1.02023169   0.00393970
  104 -390.76585217  -1.01637162   0.00386006
  105 -391.13689029  -1.01259148   0.00378015
  106 -391.18045227  -1.00888406   0.00370741
  107 -391.34930657  -1.00524914   0.00363492
  108 -391.39930890  -1.00168294   0.00356620
  109 -391.41679257  -0.99818306   0.00349988
  110 -392.46295725  -0.99476257   0.00342049
  111 -392.45091805  -0.99140426   0.00335831
  112 -392.21148966  -0.98810307   0.00330120
  113 -393.30496521  -0.98487622   0.00322684
  114 -393.43497431  -0.98170847   0.00316776
  115 -393.50096880  -0.97859723   0.00311124
  116 -393.64401258  -0.97554208   0.00305515
  117 -394.65502813  -0.97255341   0.00298867
  118 -394.58037438  -0.96961495   0.00293846
  119 -395.53931746  -0.96673914   0.00287581
  120 -395.01407960  -0.96390481   0.00283433
  121 -394.96994503  -0.96111708   0.00278772
  122 -395.44118767  -0.95838160   0.00273549
  123 -395.13602228  -0.95568706   0.00269454
  124 -395.05154400  -0.95303523   0.00265183
  125 -395.00829894  -0.95042562   0.00260961
