  cluster  E_norm [Eh]  De [kcal]    p
     1   -193.225106     0.0000   0.4957
     2   -193.224824     0.1768   0.3678
     3   -193.222852     1.4145   0.0455
     4   -193.222826     1.4308   0.0443
     5   -193.222716     1.4996   0.0394
     6   -193.220089     3.1478   0.0024
     7   -193.219506     3.5139   0.0013
     8   -193.219446     3.5518   0.0012
     9   -193.218629     4.0640   0.0005
     10  -193.218085     4.4054   0.0003
     11  -193.218075     4.4119   0.0003
     12  -193.218071     4.4142   0.0003
     13  -193.217892     4.5270   0.0002
     14  -193.217861     4.5461   0.0002
     15  -193.217356     4.8628   0.0001
     16  -193.216133     5.6304   0.0000
     17  -193.216063     5.6746   0.0000
     18  -193.215962     5.7379   0.0000
     19  -193.215836     5.8170   0.0000
     20  -193.215815     5.8303   0.0000
     21  -193.215432     6.0706   0.0000
     22  -193.215190     6.2225   0.0000
     23  -193.215141     6.2530   0.0000
     24  -193.215113     6.2706   0.0000
     25  -193.214888     6.4120   0.0000
     26  -193.213857     7.0589   0.0000
     27  -193.213024     7.5812   0.0000
     28  -193.212047     8.1947   0.0000
     29  -193.211974     8.2402   0.0000
     30  -193.211926     8.2704   0.0000
     31  -193.211661     8.4365   0.0000
     32  -193.211607     8.4704   0.0000
     33  -193.210734     9.0185   0.0000
     34  -193.210495     9.1684   0.0000
     35  -193.209859     9.5677   0.0000
     36  -193.209716     9.6572   0.0000
     37  -193.209458     9.8189   0.0000
     38  -193.208871     ******   0.0000
     39  -193.207433     ******   0.0000
     40  -193.206874     ******   0.0000
     41  -193.206404     ******   0.0000
     42  -193.206193     ******   0.0000
     43  -193.205675     ******   0.0000
     44  -193.205271     ******   0.0000
     45  -193.205012     ******   0.0000
     46  -193.203645     ******   0.0000
     47  -193.202489     ******   0.0000
     48  -193.201897     ******   0.0000
     49  -193.201451     ******   0.0000
     50  -193.200685     ******   0.0000
     51  -193.198853     ******   0.0000
