  cluster  E_norm [Eh]  De [kcal]    p
     1   -891.286150     0.0000   0.6229
     2   -891.285492     0.4124   0.3106
     3   -891.284021     1.3355   0.0654
     4   -891.279798     3.9857   0.0007
     5   -891.278726     4.6583   0.0002
     6   -891.277712     5.2949   0.0001
     7   -891.277399     5.4910   0.0001
     8   -891.275536     6.6603   0.0000
     9   -891.274369     7.3926   0.0000
     10  -891.273931     7.6673   0.0000
     11  -891.273393     8.0051   0.0000
     12  -891.272412     8.6202   0.0000
     13  -891.271861     8.9660   0.0000
     14  -891.269824     ******   0.0000
     15  -891.266034     ******   0.0000
     16  -891.265907     ******   0.0000
     17  -891.264459     ******   0.0000
     18  -891.263335     ******   0.0000
     19  -891.259666     ******   0.0000
     20  -891.258002     ******   0.0000

Ensemble free energy [Eh]:     -891.2865965159
