  cluster  E_norm [Eh]  De [kcal]    p
     1   -320.318876     0.0000   0.5486
     2   -320.318499     0.2364   0.3681
     3   -320.317024     1.1620   0.0772
     4   -320.313916     3.1124   0.0029
     5   -320.313538     3.3500   0.0019
     6   -320.312468     4.0212   0.0006
     7   -320.311273     4.7710   0.0002
     8   -320.310888     5.0125   0.0001
     9   -320.310784     5.0780   0.0001
     10  -320.310743     5.1037   0.0001
     11  -320.310594     5.1971   0.0001
     12  -320.310009     5.5642   0.0000
     13  -320.308809     6.3170   0.0000
     14  -320.308790     6.3292   0.0000
     15  -320.308358     6.6004   0.0000
     16  -320.308095     6.7651   0.0000
     17  -320.307813     6.9425   0.0000
     18  -320.307620     7.0630   0.0000
     19  -320.307256     7.2918   0.0000
     20  -320.306617     7.6929   0.0000
     21  -320.306413     7.8208   0.0000
     22  -320.306013     8.0718   0.0000
     23  -320.305958     8.1062   0.0000
     24  -320.305870     8.1615   0.0000
     25  -320.305506     8.3902   0.0000
     26  -320.305476     8.4085   0.0000
     27  -320.305342     8.4928   0.0000
     28  -320.305315     8.5094   0.0000
     29  -320.304862     8.7939   0.0000
     30  -320.304763     8.8561   0.0000
     31  -320.304500     9.0210   0.0000
     32  -320.304362     9.1075   0.0000
     33  -320.304275     9.1622   0.0000
     34  -320.304268     9.1670   0.0000
     35  -320.304114     9.2634   0.0000
     36  -320.303480     9.6615   0.0000
     37  -320.303424     9.6965   0.0000
     38  -320.303334     9.7525   0.0000
     39  -320.302957     9.9897   0.0000
     40  -320.302900     ******   0.0000
     41  -320.302834     ******   0.0000
     42  -320.302718     ******   0.0000
     43  -320.302669     ******   0.0000
     44  -320.302647     ******   0.0000
     45  -320.302413     ******   0.0000
     46  -320.302109     ******   0.0000
     47  -320.301890     ******   0.0000
     48  -320.301751     ******   0.0000
     49  -320.301648     ******   0.0000
     50  -320.301608     ******   0.0000
     51  -320.301601     ******   0.0000
     52  -320.301350     ******   0.0000
     53  -320.301184     ******   0.0000
     54  -320.301078     ******   0.0000
     55  -320.300957     ******   0.0000
     56  -320.300885     ******   0.0000
     57  -320.300832     ******   0.0000
     58  -320.300794     ******   0.0000
     59  -320.300603     ******   0.0000
     60  -320.299911     ******   0.0000
     61  -320.299909     ******   0.0000
     62  -320.299909     ******   0.0000
     63  -320.299625     ******   0.0000
     64  -320.299561     ******   0.0000
     65  -320.299173     ******   0.0000
     66  -320.299106     ******   0.0000
     67  -320.299085     ******   0.0000
     68  -320.298979     ******   0.0000
     69  -320.298965     ******   0.0000
     70  -320.298871     ******   0.0000
     71  -320.298867     ******   0.0000
     72  -320.298758     ******   0.0000
     73  -320.298653     ******   0.0000
     74  -320.298536     ******   0.0000
     75  -320.298528     ******   0.0000
     76  -320.298306     ******   0.0000
     77  -320.298289     ******   0.0000
     78  -320.298252     ******   0.0000
     79  -320.298199     ******   0.0000
     80  -320.298028     ******   0.0000
     81  -320.297671     ******   0.0000
     82  -320.297606     ******   0.0000
     83  -320.297341     ******   0.0000
     84  -320.297206     ******   0.0000
     85  -320.297120     ******   0.0000
     86  -320.297084     ******   0.0000
     87  -320.296941     ******   0.0000
     88  -320.296879     ******   0.0000
     89  -320.296441     ******   0.0000
     90  -320.296417     ******   0.0000
     91  -320.296336     ******   0.0000
     92  -320.295780     ******   0.0000
     93  -320.295564     ******   0.0000
     94  -320.295060     ******   0.0000
     95  -320.294969     ******   0.0000
     96  -320.294764     ******   0.0000
     97  -320.294721     ******   0.0000
     98  -320.294512     ******   0.0000
     99  -320.294298     ******   0.0000
     100  -320.294032     ******   0.0000
     101  -320.293850     ******   0.0000
     102  -320.293738     ******   0.0000
     103  -320.293627     ******   0.0000
     104  -320.293537     ******   0.0000
     105  -320.293461     ******   0.0000
     106  -320.293414     ******   0.0000
     107  -320.293257     ******   0.0000
     108  -320.293054     ******   0.0000
     109  -320.292938     ******   0.0000
     110  -320.292900     ******   0.0000
     111  -320.292865     ******   0.0000
     112  -320.292677     ******   0.0000
     113  -320.292364     ******   0.0000
     114  -320.292189     ******   0.0000
     115  -320.291962     ******   0.0000
     116  -320.291783     ******   0.0000
     117  -320.291759     ******   0.0000
     118  -320.291733     ******   0.0000
     119  -320.291545     ******   0.0000
     120  -320.290989     ******   0.0000
     121  -320.290669     ******   0.0000
     122  -320.290428     ******   0.0000
     123  -320.290400     ******   0.0000
     124  -320.290331     ******   0.0000
     125  -320.290326     ******   0.0000
     126  -320.290316     ******   0.0000
     127  -320.290218     ******   0.0000
     128  -320.290207     ******   0.0000
     129  -320.290180     ******   0.0000
     130  -320.290003     ******   0.0000
     131  -320.289984     ******   0.0000
     132  -320.289879     ******   0.0000
     133  -320.289797     ******   0.0000
     134  -320.289769     ******   0.0000
     135  -320.289585     ******   0.0000
     136  -320.289559     ******   0.0000
     137  -320.289123     ******   0.0000
     138  -320.288620     ******   0.0000
     139  -320.288562     ******   0.0000
     140  -320.288378     ******   0.0000
     141  -320.287555     ******   0.0000
     142  -320.287373     ******   0.0000
     143  -320.286709     ******   0.0000
     144  -320.286098     ******   0.0000
     145  -320.285460     ******   0.0000
     146  -320.285424     ******   0.0000
     147  -320.285214     ******   0.0000
     148  -320.285024     ******   0.0000
     149  -320.283821     ******   0.0000
     150  -320.283561     ******   0.0000
     151  -320.283336     ******   0.0000
     152  -320.283322     ******   0.0000
     153  -320.282977     ******   0.0000
     154  -320.277410     ******   0.0000
     155  -320.276056     ******   0.0000
     156  -320.270611     ******   0.0000
