   #   Energy       Run. Aver.   Diff / au.
    1 -574.55743087  -0.91561545  -0.91561545
    2 -546.44809443  -1.35102564  -0.43541019
    3 -543.12522635  -1.33432884   0.01669680
    4 -543.82830883  -1.21323380   0.12109504
    5 -545.68050769  -1.12028746   0.09294634
    6 -546.87298511  -1.06333141   0.05695605
    7 -546.05824896  -1.02760450   0.03572691
    8 -545.06053755  -1.00326422   0.02434028
    9 -543.41444947  -0.98530661   0.01795762
   10 -542.35041183  -0.97140921   0.01389739
   11 -542.40628779  -0.96041583   0.01099339
   12 -542.11148926  -0.95145752   0.00895830
   13 -542.45184505  -0.94407568   0.00738184
   14 -543.31944239  -0.93795976   0.00611593
   15 -542.48000576  -0.93265450   0.00530526
   16 -542.67628722  -0.92808262   0.00457188
   17 -541.52982422  -0.92398427   0.00409835
   18 -539.88361045  -0.92022186   0.00376241
   19 -539.64655086  -0.91685329   0.00336857
   20 -540.00305812  -0.91386967   0.00298362
   21 -537.83698486  -0.91102417   0.00284550
   22 -539.15465094  -0.90853907   0.00248510
   23 -538.87546040  -0.90626640   0.00227268
   24 -539.56541905  -0.90423777   0.00202862
   25 -540.28835511  -0.90242729   0.00181049
   26 -540.98513585  -0.90080716   0.00162012
   27 -541.22955692  -0.89932853   0.00147864
   28 -541.44574551  -0.89797287   0.00135566
   29 -541.48433760  -0.89671706   0.00125581
   30 -542.93110418  -0.89562515   0.00109191
   31 -543.10331630  -0.89461783   0.00100732
   32 -543.33827081  -0.89368781   0.00093002
   33 -543.88828096  -0.89284306   0.00084475
   34 -542.77260069  -0.89199822   0.00084484
   35 -542.05543630  -0.89116900   0.00082922
   36 -543.14516998  -0.89043451   0.00073448
   37 -543.08117245  -0.88973954   0.00069498
   38 -545.09089070  -0.88916646   0.00057308
   39 -544.75474974  -0.88861216   0.00055430
   40 -544.90206126  -0.88809191   0.00052025
   41 -544.00154953  -0.88756287   0.00052904
   42 -544.96889145  -0.88709552   0.00046735
   43 -545.05436146  -0.88665451   0.00044101
   44 -544.97568473  -0.88623129   0.00042322
   45 -544.28886554  -0.88580295   0.00042834
   46 -544.28559981  -0.88539302   0.00040994
   47 -543.56250950  -0.88497640   0.00041662
   48 -543.77569449  -0.88458408   0.00039232
   49 -543.60446042  -0.88420270   0.00038138
   50 -543.25497323  -0.88382565   0.00037705
   51 -543.31838165  -0.88346546   0.00036019
   52 -542.92771437  -0.88310747   0.00035799
   53 -542.52388314  -0.88275089   0.00035658
   54 -542.32500145  -0.88240168   0.00034922
   55 -542.09703817  -0.88205869   0.00034299
   56 -541.64330868  -0.88171515   0.00034354
   57 -541.81129822  -0.88138835   0.00032680
   58 -541.62506966  -0.88106799   0.00032036
   59 -541.81365398  -0.88076370   0.00030430
   60 -541.05461118  -0.88044965   0.00031404
   61 -540.79319297  -0.88013892   0.00031074
   62 -540.94558326  -0.87984217   0.00029674
   63 -540.55882820  -0.87954529   0.00029688
   64 -541.38607932  -0.87927828   0.00026701
   65 -541.42433776  -0.87902088   0.00025740
   66 -540.75161869  -0.87875519   0.00026569
   67 -540.33611542  -0.87848742   0.00026777
   68 -540.80341069  -0.87823845   0.00024897
   69 -540.89623265  -0.87799910   0.00023934
   70 -541.37594652  -0.87777766   0.00022144
   71 -541.61604009  -0.87756810   0.00020956
   72 -541.99172229  -0.87737283   0.00019526
   73 -542.02207155  -0.87718378   0.00018906
   74 -542.21943447  -0.87700417   0.00017961
   75 -541.94566803  -0.87682365   0.00018051
   76 -541.15646476  -0.87663133   0.00019232
   77 -541.42099663  -0.87644932   0.00018201
   78 -541.73238195  -0.87627848   0.00017085
   79 -541.73889279  -0.87611223   0.00016625
   80 -541.81876940  -0.87595179   0.00016044
   81 -541.78098111  -0.87579464   0.00015715
   82 -542.26733231  -0.87565081   0.00014383
   83 -542.14758575  -0.87550831   0.00014250
   84 -542.31295748  -0.87537235   0.00013595
   85 -542.53373680  -0.87524381   0.00012854
   86 -542.40598679  -0.87511598   0.00012783
   87 -542.55582197  -0.87499384   0.00012214
   88 -542.71658928  -0.87487745   0.00011639
   89 -542.82324272  -0.87476566   0.00011180
   90 -543.14237612  -0.87466204   0.00010361
   91 -542.97934024  -0.87455794   0.00010410
   92 -542.91412175  -0.87445497   0.00010297
   93 -543.26067515  -0.87436017   0.00009481
   94 -543.02318017  -0.87426344   0.00009673
   95 -542.82462033  -0.87416539   0.00009804
   96 -543.07607341  -0.87407355   0.00009184
   97 -543.21991410  -0.87398603   0.00008752
   98 -543.24875314  -0.87390081   0.00008522
   99 -543.44082919  -0.87382043   0.00008038
  100 -543.50254100  -0.87374268   0.00007774
  101 -543.99639061  -0.87367430   0.00006839
