  cluster  E_norm [Eh]  De [kcal]    p
     1   -320.543916     0.0000   0.8402
     2   -320.541482     1.5273   0.0638
     3   -320.541338     1.6177   0.0548
     4   -320.540285     2.2783   0.0180
     5   -320.540212     2.3240   0.0166
     6   -320.539276     2.9116   0.0062
     7   -320.536004     4.9650   0.0002
     8   -320.535492     5.2858   0.0001
     9   -320.534908     5.6523   0.0001
     10  -320.534443     5.9445   0.0000
     11  -320.533901     6.2846   0.0000
     12  -320.533793     6.3524   0.0000
     13  -320.533724     6.3957   0.0000
     14  -320.533233     6.7035   0.0000
     15  -320.532731     7.0187   0.0000
     16  -320.532682     7.0495   0.0000
     17  -320.532630     7.0822   0.0000
     18  -320.531890     7.5462   0.0000
     19  -320.531579     7.7418   0.0000
     20  -320.531052     8.0723   0.0000

Ensemble free energy [Eh]:     -320.5440803748
