0        -14.88687055         -5.07054445
   1      -19.9609249337      963.2
   2      -25.0535766107     1124.1
   3      -30.1454699430     1289.7
   4      -35.2343478784     1491.1
   5      -40.3222264343     1669.8
   6      -45.4099372054     1844.3
   7      -50.5072270480     2062.5
   8      -55.5961779497     2218.1
   9      -60.6873576953     2370.4
  10      -65.7760476102     2521.6
  11      -70.8726252207     2619.7
  12      -75.9570369145     2782.9
  13      -81.0432344657     2983.9
  14      -86.1322535161     3157.9
  15      -91.2290169031     3296.1
  16      -96.3142544035     3488.7
  17     -101.4068792241     3563.0
  18     -106.4964086976     3706.6
  19     -111.5927708384     3840.0
  20     -116.6833314397     4012.7
  21     -121.7663209772     4200.4
  22     -126.8705004574     4322.1
  23     -131.9559253329     4521.5
  24     -137.0555418182     4669.3
  25     -142.1456474922     4817.3
  26     -147.2391945990     5007.8
  27     -152.3385853795     5126.2
  28     -157.4272326782     5294.3
  29     -162.5176582505     5454.0
  30     -167.6036392164     5602.9
  31     -172.6983167956     5748.9
  32     -177.7875289690     5903.5
  33     -182.8812361666     6047.4
  34     -187.9712103955     6207.6
  35     -193.0581639551     6346.3
