   #   Energy       Run. Aver.   Diff / au.
    1 -420.84597010  -0.67066067  -0.67066067
    2 -379.27663117  -0.97286853  -0.30220786
    3 -368.65608444  -0.94514524   0.02772329
    4 -367.73625981  -0.84843435   0.09671089
    5 -375.95012721  -0.77922822   0.06920613
    6 -376.77143998  -0.73789307   0.04133515
    7 -382.91939299  -0.71374916   0.02414391
    8 -383.97973385  -0.69800135   0.01574781
    9 -387.89151685  -0.68737860   0.01062275
   10 -381.08527205  -0.67830826   0.00907034
   11 -384.03641383  -0.67145574   0.00685252
   12 -379.10084869  -0.66527469   0.00618106
   13 -384.44466893  -0.66075129   0.00452340
   14 -385.08947097  -0.65706589   0.00368540
   15 -388.95301987  -0.65433820   0.00272768
   16 -390.32206477  -0.65214769   0.00219051
   17 -388.65059676  -0.65008980   0.00205789
   18 -392.12638143  -0.64857566   0.00151414
   19 -391.74940016  -0.64721790   0.00135776
   20 -394.95409743  -0.64625908   0.00095882
   21 -395.78220462  -0.64547342   0.00078566
   22 -395.56169472  -0.64475108   0.00072234
   23 -394.53345450  -0.64402306   0.00072802
   24 -394.22234623  -0.64333482   0.00068824
   25 -393.19919363  -0.64263801   0.00069681
   26 -394.34466514  -0.64206467   0.00057333
   27 -395.01574384  -0.64157799   0.00048668
   28 -394.99217355  -0.64112783   0.00045017
   29 -394.83315705  -0.64070123   0.00042660
   30 -394.29665306  -0.64027535   0.00042587
   31 -393.14659441  -0.63981786   0.00045749
   32 -391.82601392  -0.63932221   0.00049565
   33 -391.45153153  -0.63883735   0.00048485
   34 -391.40382058  -0.63837910   0.00045825
   35 -394.18728752  -0.63807453   0.00030457
   36 -395.58797069  -0.63785315   0.00022138
   37 -393.83994548  -0.63757070   0.00028245
   38 -393.15449206  -0.63727276   0.00029794
   39 -392.88569220  -0.63697872   0.00029404
   40 -392.65652666  -0.63669035   0.00028837
   41 -392.54883640  -0.63641200   0.00027835
   42 -392.50839993  -0.63614561   0.00026639
   43 -393.11509162  -0.63591437   0.00023124
   44 -393.46542123  -0.63570713   0.00020724
   45 -394.29226873  -0.63553891   0.00016822
   46 -394.69060353  -0.63539266   0.00014625
   47 -396.26968177  -0.63530663   0.00008602
   48 -396.45096476  -0.63523147   0.00007516
   49 -396.73397632  -0.63516880   0.00006267
   50 -395.50129042  -0.63506960   0.00009920
   51 -396.05224702  -0.63499078   0.00007881
   52 -394.90221009  -0.63488015   0.00011063
   53 -393.82430731  -0.63474068   0.00013947
   54 -393.81293032  -0.63460551   0.00013517
   55 -392.96072124  -0.63445064   0.00015487
   56 -392.95317543  -0.63430073   0.00014991
   57 -391.44899451  -0.63411411   0.00018661
   58 -392.97151590  -0.63397513   0.00013898
   59 -392.69778902  -0.63383428   0.00014085
   60 -392.58968796  -0.63369522   0.00013906
   61 -392.97556868  -0.63357083   0.00012439
   62 -393.47855456  -0.63346361   0.00010721
   63 -391.19161655  -0.63330222   0.00016139
   64 -391.57487025  -0.63315458   0.00014765
   65 -392.39738510  -0.63303185   0.00012273
   66 -392.56767200  -0.63291733   0.00011452
   67 -392.42232345  -0.63280290   0.00011443
   68 -392.42881343  -0.63269198   0.00011092
   69 -392.04990185  -0.63257558   0.00011640
   70 -392.78260847  -0.63247911   0.00009647
   71 -393.08876334  -0.63239250   0.00008660
   72 -393.09259063  -0.63230853   0.00008398
   73 -394.01200445  -0.63224696   0.00006157
   74 -393.80520460  -0.63218291   0.00006405
   75 -394.31193681  -0.63213129   0.00005161
   76 -394.59531096  -0.63208714   0.00004415
   77 -394.34803420  -0.63203912   0.00004802
   78 -393.41956095  -0.63197331   0.00006581
   79 -393.88296370  -0.63191829   0.00005502
   80 -393.22128882  -0.63185160   0.00006669
