   #   Energy       Run. Aver.   Diff / au.
    1 -574.55729627  -0.91561524  -0.91561524
    2 -546.44513265  -1.35102306  -0.43540783
    3 -543.08074630  -1.33430271   0.01672036
    4 -543.83113487  -1.21320944   0.12109327
    5 -546.12883112  -1.12041122   0.09279822
    6 -546.91341516  -1.06346996   0.05694125
    7 -546.06994147  -1.02772804   0.03574192
    8 -545.08176075  -1.00337467   0.02435337
    9 -543.46059208  -0.98541149   0.01796317
   10 -542.32036992  -0.97149827   0.01391322
   11 -542.49959487  -0.96050887   0.01098940
   12 -540.84202773  -0.95137455   0.00913431
   13 -541.12331768  -0.94382270   0.00755185
   14 -540.75395402  -0.93742068   0.00640203
   15 -541.39381075  -0.93201689   0.00540379
   16 -541.98936303  -0.92741028   0.00460661
   17 -540.81048174  -0.92328201   0.00412827
   18 -539.73595701  -0.91954388   0.00373813
   19 -540.04428266  -0.91624563   0.00329825
   20 -539.36449707  -0.91324503   0.00300060
   21 -539.95511805  -0.91058920   0.00265583
   22 -540.65481008  -0.90824116   0.00234804
   23 -541.55293631  -0.90617291   0.00206825
   24 -542.45858021  -0.90434881   0.00182410
   25 -542.91800431  -0.90270968   0.00163912
   26 -542.71284576  -0.90119119   0.00151850
   27 -542.64130523  -0.89978541   0.00140577
   28 -541.94379960  -0.89844438   0.00134103
   29 -542.80553945  -0.89724542   0.00119896
   30 -541.68882027  -0.89607181   0.00117361
   31 -541.37860581  -0.89495879   0.00111303
   32 -541.79683557  -0.89393805   0.00102074
   33 -541.55738560  -0.89297040   0.00096764
   34 -541.45415684  -0.89205640   0.00091400
   35 -541.77014049  -0.89121055   0.00084585
   36 -542.73396488  -0.89045625   0.00075430
   37 -542.59608756  -0.88973925   0.00071699
   38 -542.87257720  -0.88907258   0.00066668
   39 -542.54961868  -0.88842818   0.00064440
   40 -542.58831692  -0.88781810   0.00061008
   41 -542.30183059  -0.88722748   0.00059062
   42 -541.84670283  -0.88664818   0.00057930
   43 -541.58682571  -0.88608646   0.00056172
   44 -541.08525439  -0.88553251   0.00055396
   45 -540.68123341  -0.88498904   0.00054347
   46 -541.23144438  -0.88448849   0.00050055
   47 -540.96246896  -0.88400103   0.00048746
   48 -540.47779688  -0.88351806   0.00048297
   49 -541.19444012  -0.88307821   0.00043985
   50 -540.75367125  -0.88264276   0.00043545
   51 -541.03306221  -0.88223321   0.00040955
   52 -541.13144052  -0.88184292   0.00039029
   53 -541.16481268  -0.88146872   0.00037419
   54 -542.17958789  -0.88113863   0.00033009
   55 -541.96769250  -0.88081521   0.00032342
   56 -541.78423501  -0.88049823   0.00031697
   57 -541.61602341  -0.88018779   0.00031044
   58 -540.97137579  -0.87987045   0.00031734
   59 -540.50942805  -0.87955128   0.00031917
   60 -540.49122200  -0.87924223   0.00030905
   61 -540.00586067  -0.87893080   0.00031143
   62 -539.94473662  -0.87862781   0.00030299
   63 -540.11496129  -0.87833887   0.00028894
   64 -540.37471798  -0.87806565   0.00027322
   65 -540.51287284  -0.87780447   0.00026118
   66 -540.77074678  -0.87755761   0.00024686
   67 -540.98185351  -0.87732336   0.00023426
   68 -541.31134400  -0.87710390   0.00021946
   69 -541.69469645  -0.87689987   0.00020403
   70 -541.77027624  -0.87670361   0.00019626
   71 -540.94305884  -0.87649442   0.00020919
   72 -541.12851172  -0.87629497   0.00019945
   73 -541.14651155  -0.87610151   0.00019346
   74 -541.06446223  -0.87591159   0.00018992
   75 -540.94518037  -0.87572425   0.00018734
   76 -540.74472246  -0.87553767   0.00018658
   77 -541.02804935  -0.87536181   0.00017586
   78 -540.99657178  -0.87518995   0.00017186
   79 -541.08240504  -0.87502423   0.00016572
   80 -541.29265502  -0.87486691   0.00015732
   81 -541.14057370  -0.87471059   0.00015632
   82 -540.97604127  -0.87455490   0.00015569
   83 -540.80662757  -0.87439971   0.00015519
   84 -541.27609318  -0.87425713   0.00014258
   85 -541.62842694  -0.87412466   0.00013247
   86 -541.61076456  -0.87399506   0.00012960
   87 -541.57404074  -0.87386780   0.00012726
   88 -540.71435011  -0.87372790   0.00013991
   89 -540.78748111  -0.87359230   0.00013560
   90 -540.65949358  -0.87345750   0.00013480
