  cluster  E_norm [Eh]  De [kcal]    p
     1   -356.367967     0.0000   0.9997
     2   -356.359431     5.3565   0.0001
     3   -356.359002     5.6254   0.0001
     4   -356.358336     6.0435   0.0000
     5   -356.357754     6.4089   0.0000
     6   -356.356886     6.9537   0.0000
     7   -356.354435     8.4916   0.0000
     8   -356.351183     ******   0.0000
     9   -356.350761     ******   0.0000
     10  -356.349664     ******   0.0000
     11  -356.349454     ******   0.0000
     12  -356.347965     ******   0.0000
     13  -356.347496     ******   0.0000
     14  -356.347487     ******   0.0000
     15  -356.344500     ******   0.0000
     16  -356.341987     ******   0.0000
     17  -356.341019     ******   0.0000
     18  -356.339946     ******   0.0000
     19  -356.338995     ******   0.0000
     20  -356.338812     ******   0.0000

Ensemble free energy [Eh]:     -356.3679673186
