  cluster  E_norm [Eh]  De [kcal]    p
     1   -229.081676     0.0000   0.4778
     2   -229.081396     0.1756   0.3553
     3   -229.080355     0.8293   0.1178
     4   -229.078948     1.7121   0.0266
     5   -229.078162     2.2053   0.0116
     6   -229.077686     2.5038   0.0070
     7   -229.076896     2.9993   0.0030
     8   -229.074750     4.3462   0.0003
     9   -229.074469     4.5224   0.0002
     10  -229.073777     4.9568   0.0001
     11  -229.073738     4.9813   0.0001
     12  -229.073547     5.1014   0.0001
     13  -229.073320     5.2437   0.0001
     14  -229.073213     5.3109   0.0001
     15  -229.071654     6.2891   0.0000
     16  -229.071396     6.4508   0.0000
     17  -229.069972     7.3445   0.0000
     18  -229.069890     7.3957   0.0000
     19  -229.069613     7.5699   0.0000
     20  -229.058957     ******   0.0000

Ensemble free energy [Eh]:     -229.0823735674
