  cluster  E_norm [Eh]  De [kcal]    p
     1   -763.970924     0.0000   0.7355
     2   -763.969560     0.8560   0.1734
     3   -763.968668     1.4152   0.0675
     4   -763.967351     2.2417   0.0167
     5   -763.966454     2.8049   0.0065
     6   -763.963044     4.9447   0.0002
     7   -763.963030     4.9530   0.0002
     8   -763.960928     6.2726   0.0000
     9   -763.960530     6.5221   0.0000
     10  -763.958930     7.5261   0.0000
     11  -763.954709     ******   0.0000
     12  -763.952784     ******   0.0000
     13  -763.949384     ******   0.0000
     14  -763.946264     ******   0.0000
     15  -763.942998     ******   0.0000
     16  -763.938699     ******   0.0000
     17  -763.936064     ******   0.0000
     18  -763.933252     ******   0.0000
     19  -763.929151     ******   0.0000
     20  -763.928136     ******   0.0000

Ensemble free energy [Eh]:     -763.9712137206
