   #   Energy       Run. Aver.   Diff / au.
    1 -440.76669198  -0.70240636  -0.70240636
    2 -397.20354532  -1.01889840  -0.31649204
    3 -390.54961381  -0.99222306   0.02667533
    4 -386.42049515  -0.89144851   0.10077455
    5 -383.17261915  -0.81512877   0.07631974
    6 -383.16645301  -0.76832311   0.04680566
    7 -386.37747410  -0.73983781   0.02848531
    8 -384.92920340  -0.72047538   0.01936243
    9 -387.22083954  -0.70683513   0.01364024
   10 -384.97551590  -0.69613734   0.01069779
   11 -385.60287649  -0.68774299   0.00839435
   12 -386.00697975  -0.68099331   0.00674968
   13 -384.22560557  -0.67519019   0.00580312
   14 -388.13402239  -0.67072859   0.00446160
   15 -384.27037284  -0.66654082   0.00418776
   16 -385.07128870  -0.66297342   0.00356741
   17 -385.81948750  -0.65993234   0.00304108
   18 -383.50456794  -0.65705344   0.00287889
   19 -382.66683443  -0.65441587   0.00263758
   20 -382.21559731  -0.65201816   0.00239771
   21 -384.89903828  -0.65006386   0.00195430
   22 -385.50759442  -0.64835146   0.00171240
   23 -383.03963766  -0.64662749   0.00172397
   24 -389.73124075  -0.64549102   0.00113647
   25 -390.40848103  -0.64451213   0.00097888
   26 -390.60708633  -0.64362679   0.00088535
   27 -391.58811155  -0.64286839   0.00075840
   28 -393.79741546  -0.64229443   0.00057395
   29 -393.92427776  -0.64177339   0.00052104
   30 -395.30568768  -0.64136223   0.00041116
   31 -394.01265741  -0.64091467   0.00044756
   32 -392.81303502  -0.64043421   0.00048047
   33 -392.84333332  -0.63998333   0.00045088
   34 -394.50304143  -0.63963763   0.00034570
   35 -394.13096984  -0.63929775   0.00033988
   36 -393.68868004  -0.63895734   0.00034041
   37 -394.46968698  -0.63866895   0.00028839
   38 -394.02685059  -0.63837854   0.00029041
   39 -394.68202034  -0.63812974   0.00024880
   40 -396.84098143  -0.63798044   0.00014931
   41 -396.74701680  -0.63783719   0.00014325
   42 -396.57626474  -0.63769443   0.00014276
   43 -397.45699791  -0.63759096   0.00010347
   44 -397.31009756  -0.63748776   0.00010319
   45 -396.98741497  -0.63737773   0.00011003
   46 -396.78781782  -0.63726542   0.00011231
   47 -394.75427057  -0.63708890   0.00017653
   48 -393.85815872  -0.63688863   0.00020026
   49 -392.74176649  -0.63665975   0.00022888
   50 -393.50337659  -0.63646373   0.00019602
   51 -392.98720042  -0.63625991   0.00020382
   52 -393.31383060  -0.63607379   0.00018612
   53 -394.02790385  -0.63591650   0.00015729
   54 -393.88842813  -0.63576145   0.00015505
   55 -394.47225090  -0.63562899   0.00013245
   56 -394.06981366  -0.63549022   0.00013877
   57 -395.08604176  -0.63538461   0.00010560
   58 -394.56693475  -0.63526896   0.00011565
   59 -394.90669955  -0.63516624   0.00010273
   60 -395.61680023  -0.63508601   0.00008023
   61 -396.04269252  -0.63501991   0.00006610
   62 -396.27308870  -0.63496209   0.00005782
   63 -395.95610457  -0.63489822   0.00006387
   64 -395.10919758  -0.63481517   0.00008306
   65 -395.39729385  -0.63474144   0.00007373
   66 -396.12618572  -0.63468768   0.00005376
   67 -396.34009760  -0.63464091   0.00004677
   68 -395.89146691  -0.63458511   0.00005580
   69 -395.62455863  -0.63452463   0.00006048
   70 -395.08161736  -0.63445345   0.00007118
   71 -394.78666242  -0.63437751   0.00007595
   72 -395.67890012  -0.63432335   0.00005415
   73 -396.12606369  -0.63428074   0.00004261
   74 -396.36786318  -0.63424465   0.00003609
   75 -395.49463370  -0.63419105   0.00005360
   76 -393.60377131  -0.63409898   0.00009207
   77 -394.34399102  -0.63402412   0.00007486
   78 -394.00544052  -0.63394449   0.00007963
   79 -394.14515074  -0.63386963   0.00007486
   80 -393.66284965  -0.63378709   0.00008254
   81 -393.25864661  -0.63369855   0.00008855
   82 -395.16580691  -0.63364915   0.00004939
   83 -394.64356114  -0.63359139   0.00005776
   84 -395.09908698  -0.63354355   0.00004784
   85 -395.32899836  -0.63350126   0.00004229
   86 -394.30076173  -0.63344097   0.00006029
   87 -394.62164924  -0.63338773   0.00005324
   88 -395.01306308  -0.63334287   0.00004486
   89 -394.37670874  -0.63328772   0.00005515
   90 -394.17518636  -0.63323011   0.00005761
   91 -394.29621913  -0.63317586   0.00005425
   92 -393.79017611  -0.63311406   0.00006180
   93 -393.72685798  -0.63305242   0.00006164
   94 -394.15663637  -0.63299938   0.00005304
   95 -394.10525853  -0.63294669   0.00005269
   96 -394.11215474  -0.63289522   0.00005148
   97 -393.82021725  -0.63284002   0.00005520
   98 -393.62936527  -0.63278280   0.00005721
   99 -394.10111404  -0.63273432   0.00004848
  100 -392.63217074  -0.63266348   0.00007084
  101 -391.82177397  -0.63258104   0.00008244
  102 -391.86800463  -0.63250082   0.00008022
  103 -392.79272923  -0.63243649   0.00006433
  104 -392.89923847  -0.63237518   0.00006131
  105 -393.74736044  -0.63232794   0.00004724
  106 -393.44446594  -0.63227717   0.00005077
  107 -392.51354773  -0.63221346   0.00006372
  108 -394.40700398  -0.63217874   0.00003472
  109 -394.64019286  -0.63214833   0.00003041
  110 -394.62980852  -0.63211836   0.00002997
  111 -394.68062276  -0.63208967   0.00002869
  112 -394.32233296  -0.63205641   0.00003327
  113 -394.86418652  -0.63203133   0.00002508
  114 -394.55885450  -0.63200250   0.00002883
  115 -395.07817208  -0.63198133   0.00002117
  116 -394.85971080  -0.63195759   0.00002374
  117 -394.86991993  -0.63193438   0.00002321
  118 -395.36723860  -0.63191828   0.00001610
  119 -395.76291828  -0.63190781   0.00001047
  120 -396.26631918  -0.63190424   0.00000356
  121 -396.09020484  -0.63189847   0.00000577
  122 -396.17092562  -0.63189384   0.00000464
