  cluster  E_norm [Eh]  De [kcal]    p
     1   -320.318673     0.0000   0.8748
     2   -320.316646     1.2720   0.1022
     3   -320.314671     2.5116   0.0126
     4   -320.313965     2.9546   0.0060
     5   -320.312858     3.6491   0.0018
     6   -320.312254     4.0283   0.0010
     7   -320.311743     4.3488   0.0006
     8   -320.311519     4.4894   0.0004
     9   -320.310815     4.9310   0.0002
     10  -320.310631     5.0463   0.0002
     11  -320.310479     5.1419   0.0001
     12  -320.308969     6.0896   0.0000
     13  -320.308247     6.5428   0.0000
     14  -320.307976     6.7124   0.0000
     15  -320.307574     6.9646   0.0000
     16  -320.307241     7.1738   0.0000
     17  -320.306519     7.6271   0.0000
     18  -320.306003     7.9506   0.0000
     19  -320.305873     8.0322   0.0000
     20  -320.305063     8.5404   0.0000

Ensemble free energy [Eh]:     -320.3187993954
