   #   Energy       Run. Aver.   Diff / au.
  139 -398.15630807  -0.69922885   0.00047248
  140 -397.76598956  -0.69875870   0.00047015
  141 -397.85671899  -0.69829626   0.00046244
  142 -397.79579163  -0.69783970   0.00045656
  143 -398.19664172  -0.69739404   0.00044566
  144 -397.80061819  -0.69695026   0.00044378
  145 -397.29926702  -0.69650711   0.00044315
  146 -397.57164111  -0.69607300   0.00043411
  147 -397.28734790  -0.69564178   0.00043122
  148 -397.29559779  -0.69521650   0.00042529
  149 -397.12377576  -0.69479512   0.00042137
  150 -397.52728673  -0.69438368   0.00041144
  151 -397.38713038  -0.69397627   0.00040741
  152 -396.99354117  -0.69357012   0.00040615
  153 -396.99492940  -0.69316931   0.00040081
  154 -396.85585940  -0.69277229   0.00039701
  155 -397.18200599  -0.69238378   0.00038851
  156 -399.69315778  -0.69202596   0.00035783
  157 -399.80064273  -0.69167398   0.00035198
  158 -398.76683281  -0.69131606   0.00035792
  159 -398.12229954  -0.69095615   0.00035991
  160 -397.94702793  -0.69059898   0.00035717
  161 -397.87543138  -0.69024556   0.00035342
  162 -398.07552367  -0.68989849   0.00034707
  163 -398.24654106  -0.68955738   0.00034110
  164 -398.08080322  -0.68921887   0.00033851
  165 -398.35376521  -0.68888711   0.00033176
  166 -398.45022211  -0.68856031   0.00032680
  167 -398.47987910  -0.68823775   0.00032257
  168 -398.43191871  -0.68791859   0.00031916
  169 -398.36867548  -0.68760263   0.00031596
  170 -398.17489836  -0.68728859   0.00031404
  171 -398.63804226  -0.68698255   0.00030604
  172 -398.28423856  -0.68667684   0.00030571
  173 -398.09177854  -0.68637289   0.00030395
  174 -398.11107068  -0.68607263   0.00030027
  175 -397.42959006  -0.68576960   0.00030302
  176 -397.32159965  -0.68546903   0.00030057
  177 -397.05965409  -0.68516952   0.00029952
  178 -397.07005997  -0.68487346   0.00029605
  179 -397.28522491  -0.68458265   0.00029081
  180 -396.39161621  -0.68428719   0.00029546
  181 -396.56113471  -0.68399646   0.00029073
  182 -396.27382624  -0.68370643   0.00029003
  183 -396.68458059  -0.68342315   0.00028328
  184 -395.97135952  -0.68313682   0.00028634
  185 -395.86973600  -0.68285268   0.00028413
  186 -395.74785529  -0.68257057   0.00028211
  187 -396.53591163  -0.68229821   0.00027237
  188 -396.66533074  -0.68202989   0.00026832
  189 -396.78725400  -0.68176546   0.00026443
