   #   Energy       Run. Aver.   Diff / au.
    1 -423.39447516  -0.67472197  -0.67472197
    2 -380.64802162  -0.97802256  -0.30330058
    3 -368.77973485  -0.94901118   0.02901137
    4 -367.20974418  -0.85080202   0.09820916
    5 -375.36575288  -0.78063645   0.07016557
    6 -376.47075809  -0.73882683   0.04180962
    7 -376.42318914  -0.71300283   0.02582400
    8 -380.75986225  -0.69649690   0.01650593
    9 -382.06784365  -0.68492590   0.01157100
   10 -382.99077530  -0.67630967   0.00861623
   11 -380.06086210  -0.66910417   0.00720549
   12 -385.05825544  -0.66388081   0.00522336
   13 -386.42928364  -0.65978158   0.00409923
   14 -383.33471188  -0.65599600   0.00378558
   15 -389.94747433  -0.65343862   0.00255739
   16 -387.34977436  -0.65101893   0.00241968
   17 -388.98397876  -0.64904521   0.00197372
   18 -382.23976212  -0.64671848   0.00232673
   19 -383.29337936  -0.64470646   0.00201202
   20 -381.67289818  -0.64278226   0.00192420
   21 -379.60003756  -0.64088819   0.00189406
   22 -381.37027575  -0.63929592   0.00159228
   23 -385.89804647  -0.63816893   0.00112698
   24 -385.95176880  -0.63715882   0.00101011
   25 -387.02338596  -0.63630250   0.00085632
   26 -387.54626414  -0.63555002   0.00075248
   27 -390.45393029  -0.63502874   0.00052128
   28 -390.78175765  -0.63457160   0.00045713
   29 -389.60053890  -0.63408330   0.00048830
   30 -393.05214103  -0.63380986   0.00027344
   31 -392.55856764  -0.63353562   0.00027424
   32 -392.72629758  -0.63328684   0.00024877
   33 -393.24318149  -0.63307888   0.00020796
   34 -392.15457545  -0.63283333   0.00024555
   35 -393.85562123  -0.63267818   0.00015514
   36 -393.86296877  -0.63253449   0.00014369
   37 -394.16472430  -0.63241188   0.00012262
   38 -395.01471885  -0.63233192   0.00007996
   39 -395.24637320  -0.63226662   0.00006530
   40 -395.59023808  -0.63221865   0.00004797
   41 -394.68647314  -0.63213831   0.00008034
   42 -393.65907030  -0.63202205   0.00011626
   43 -392.92186710  -0.63188303   0.00013901
   44 -395.59051226  -0.63184648   0.00003656
   45 -394.13922866  -0.63176243   0.00008405
