   #   Energy       Run. Aver.   Diff / au.
    1 -440.63197700  -0.70219168  -0.70219168
    2 -397.58636687  -1.01898875  -0.31679707
    3 -390.83795873  -0.99253814   0.02645060
    4 -386.21822943  -0.89166042   0.10087772
    5 -384.48002219  -0.81569436   0.07596606
    6 -383.02089394  -0.76881472   0.04687964
    7 -383.35511766  -0.73956056   0.02925417
    8 -386.87002395  -0.72052329   0.01903727
    9 -386.94653709  -0.70686528   0.01365801
   10 -386.76018132  -0.69644710   0.01041818
   11 -385.92829576  -0.68809715   0.00834995
   12 -382.30598349  -0.68083017   0.00726698
   13 -381.85614533  -0.67470934   0.00612082
   14 -383.15611744  -0.66969277   0.00501658
   15 -380.42112326  -0.66512812   0.00456465
   16 -381.90606656  -0.66131019   0.00381792
   17 -384.71999460  -0.65824914   0.00306105
   18 -385.61169825  -0.65564920   0.00259994
   19 -385.44374477  -0.65333312   0.00231608
   20 -388.90975116  -0.65153902   0.00179411
   21 -390.03739836  -0.65002621   0.00151281
   22 -391.69432536  -0.64878373   0.00124247
   23 -392.22246916  -0.64769765   0.00108609
   24 -392.19454659  -0.64670673   0.00099092
   25 -394.33973892  -0.64593564   0.00077109
   26 -394.05487237  -0.64521485   0.00072078
   27 -393.98842795  -0.64454540   0.00066945
   28 -394.38616751  -0.64394824   0.00059716
   29 -393.97795752  -0.64337232   0.00057592
   30 -395.38838376  -0.64291043   0.00046189
   31 -395.82628253  -0.64250452   0.00040590
   32 -395.29508766  -0.64209928   0.00040524
   33 -393.58905686  -0.64163624   0.00046305
   34 -395.51745978  -0.64128911   0.00034712
   35 -398.66707697  -0.64110855   0.00018057
   36 -398.01767005  -0.64091389   0.00019466
   37 -398.37427045  -0.64074473   0.00016916
   38 -398.64327142  -0.64059643   0.00014830
   39 -397.19663567  -0.64039716   0.00019927
   40 -397.14410225  -0.64020448   0.00019268
   41 -397.13968530  -0.64002119   0.00018329
   42 -397.17436707  -0.63984817   0.00017302
   43 -397.66294337  -0.63970154   0.00014663
   44 -396.77912796  -0.63953017   0.00017137
   45 -396.96555306  -0.63937246   0.00015771
   46 -396.57266269  -0.63920830   0.00016416
   47 -396.16072480  -0.63903702   0.00017128
   48 -396.48867449  -0.63888361   0.00015341
   49 -397.04663520  -0.63875498   0.00012863
   50 -397.51733104  -0.63864699   0.00010799
   51 -397.11227919  -0.63853098   0.00011601
   52 -397.56097842  -0.63843303   0.00009795
   53 -397.44627437  -0.63833567   0.00009736
   54 -397.47675107  -0.63824283   0.00009284
   55 -396.40635523  -0.63812243   0.00012040
   56 -396.48505493  -0.63800808   0.00011435
   57 -394.27719630  -0.63783612   0.00017196
   58 -394.62060091  -0.63767853   0.00015759
   59 -396.53119224  -0.63757813   0.00010040
   60 -397.27078436  -0.63750167   0.00007646
   61 -398.64956442  -0.63746414   0.00003754
   62 -398.92837897  -0.63743561   0.00002853
   63 -398.31594985  -0.63739263   0.00004297
   64 -398.54850685  -0.63735657   0.00003607
   65 -398.12137914  -0.63731125   0.00004532
   66 -394.93332320  -0.63719018   0.00012107
   67 -395.31327845  -0.63708064   0.00010954
   68 -395.49463142  -0.63697873   0.00010190
   69 -395.21287089  -0.63687339   0.00010535
   70 -395.54659265  -0.63677860   0.00009479
   71 -396.69514675  -0.63671241   0.00006619
   72 -396.01316471  -0.63663336   0.00007905
   73 -396.20172220  -0.63656042   0.00007294
   74 -396.71810104  -0.63650065   0.00005977
   75 -394.84974927  -0.63640295   0.00009770
   76 -394.19295221  -0.63629355   0.00010940
   77 -392.36561379  -0.63614902   0.00014453
   78 -392.68456958  -0.63601427   0.00013476
   79 -393.11757216  -0.63589178   0.00012249
   80 -393.43990443  -0.63577893   0.00011285
   81 -394.03583416  -0.63568071   0.00009822
   82 -393.03908551  -0.63556570   0.00011502
   83 -392.93881071  -0.63545132   0.00011437
   84 -392.69818807  -0.63533512   0.00011621
   85 -393.20847414  -0.63523119   0.00010393
   86 -393.11919251  -0.63512817   0.00010302
   87 -392.72949073  -0.63502039   0.00010778
   88 -392.15080904  -0.63490452   0.00011587
   89 -392.32017729  -0.63479420   0.00011032
   90 -391.78999007  -0.63467701   0.00011719
   91 -392.03068431  -0.63456653   0.00011048
   92 -393.73249764  -0.63448800   0.00007853
   93 -393.12251007  -0.63440106   0.00008695
   94 -394.64618315  -0.63434170   0.00005935
   95 -395.33608865  -0.63429546   0.00004624
   96 -395.13707806  -0.63424702   0.00004845
   97 -394.90542800  -0.63419574   0.00005127
   98 -395.27177142  -0.63415144   0.00004430
   99 -395.46636335  -0.63411124   0.00004020
  100 -395.48403265  -0.63407216   0.00003908
  101 -395.12438645  -0.63402820   0.00004397
  102 -395.19702582  -0.63398618   0.00004202
  103 -395.42856404  -0.63394858   0.00003760
  104 -396.87746806  -0.63393395   0.00001463
  105 -396.79876968  -0.63391862   0.00001533
  106 -396.79958032  -0.63390358   0.00001503
  107 -397.09678778  -0.63389326   0.00001032
  108 -397.20893641  -0.63388483   0.00000843
  109 -396.87601120  -0.63387170   0.00001313
  110 -397.11607956  -0.63386224   0.00000946
  111 -397.19638512  -0.63385414   0.00000810
  112 -397.51672336  -0.63385076   0.00000338
  113 -397.60127180  -0.63384867   0.00000209
  114 -397.52537969  -0.63384556   0.00000310
  115 -397.32233224  -0.63383969   0.00000587
  116 -396.78713652  -0.63382654   0.00001315
  117 -394.71299679  -0.63378531   0.00004124
  118 -395.12471947  -0.63375009   0.00003521
  119 -396.23111057  -0.63373034   0.00001976
  120 -397.71691015  -0.63373077  -0.00000043
  121 -397.87160146  -0.63373340  -0.00000263
  122 -397.93158619  -0.63373679  -0.00000339
  123 -397.26148188  -0.63373145   0.00000534
  124 -397.24133266  -0.63372587   0.00000558
  125 -397.36928052  -0.63372200   0.00000387
