  cluster  E_norm [Eh]  De [kcal]    p
     1   -356.641896     0.0000   0.7271
     2   -356.640668     0.7703   0.1981
     3   -356.638495     2.1337   0.0198
     4   -356.638296     2.2589   0.0161
     5   -356.638186     2.3275   0.0143
     6   -356.638107     2.3772   0.0132
     7   -356.637500     2.7584   0.0069
     8   -356.636268     3.5316   0.0019
     9   -356.636084     3.6470   0.0015
     10  -356.635057     4.2915   0.0005
     11  -356.634390     4.7100   0.0003
     12  -356.633450     5.2994   0.0001
     13  -356.633423     5.3167   0.0001
     14  -356.633112     5.5121   0.0001
     15  -356.633096     5.5218   0.0001
     16  -356.632982     5.5933   0.0001
     17  -356.630085     7.4115   0.0000
     18  -356.629209     7.9607   0.0000
     19  -356.628851     8.1858   0.0000
     20  -356.628595     8.3465   0.0000

Ensemble free energy [Eh]:     -356.6421965588
