   #           Energy [Eh]      SASA
No   1     -636.5929985949     5288.4
No   2     -636.5865672318     5236.0
No   3     -636.5889277616     5121.3
No   4     -636.5880215187     5391.4
No   5     -636.5954099591     5451.9
No   6     -636.5810552790     5314.1
No   7     -636.5779837134     5360.8
No   8     -636.5818780778     5491.9
No   9     -636.5858366518     5176.3
No  10     -636.5933213025     5385.6
No  11     -636.5898719522     5631.2
No  12     -636.5768304945     5386.8
No  13     -636.5709999836     5599.0
No  14     -636.5634242672     5500.2
No  15     -636.5932981895     5529.1
No  16     -636.5900131020     5310.0
No  17     -636.5668807478     5552.4
No  18     -636.5679211016     5248.2
No  19     -636.5703353700     5001.7
No  20     -636.5774353403     5369.1
