  cluster  E_norm [Eh]  De [kcal]    p
     1   -422.411167     0.0000   0.6252
     2   -422.410590     0.3619   0.3394
     3   -422.408419     1.7243   0.0340
     4   -422.404848     3.9652   0.0008
     5   -422.403893     4.5644   0.0003
     6   -422.403055     5.0902   0.0001
     7   -422.401965     5.7743   0.0000
     8   -422.401782     5.8892   0.0000
     9   -422.401757     5.9050   0.0000
     10  -422.400561     6.6553   0.0000
     11  -422.399740     7.1702   0.0000
     12  -422.399722     7.1816   0.0000
     13  -422.399544     7.2935   0.0000
     14  -422.399333     7.4256   0.0000
     15  -422.398904     7.6950   0.0000
     16  -422.397820     8.3754   0.0000
     17  -422.397450     8.6076   0.0000
     18  -422.396155     9.4199   0.0000
     19  -422.394797     ******   0.0000
     20  -422.394580     ******   0.0000

Ensemble free energy [Eh]:     -422.4116101762
